order,SpecimenID,Image.J.ID,Site,X,Y,Spit,Raw.material,Key,activity_area
1,1062,,BCJ area G,15.05,18.91,8,silcrete,Flake local G4,Area 1
1,1063,,BCJ area G,15.14,18,8,silcrete,Flake local G4,Area 1
1,1064,,BCJ area G,15.38,18.11,8,silcrete,Flake local G4,Area 1
1,1065,,BCJ area G,15.56,18.27,8,silcrete,Flake local G4,Area 1
1,1066,,BCJ area G,15.61,18.62,8,silcrete,Flake local G4,Area 1
1,1067,,BCJ area G,15.15,18.37,8,silcrete,Flake local G4,Area 1
1,1068,,BCJ area G,15.18,18.01,8,silcrete,Flake local G4,Area 1
1,1082,,BCJ area G,15.68,18.47,10,silcrete,Flake local G4,Area 1
1,1083,,BCJ area G,15.93,18.72,10,silcrete,Flake local G4,Area 1
1,1097,,BCJ area G,17.43,22.41,4,silcrete,Flake local G4,Area 1
1,1098,,BCJ area G,17.01,22.16,4,silcrete,Flake local G4,Area 1
1,1104,,BCJ area G,17.72,22.76,8,silcrete,Flake local G4,Area 1
1,1114,,BCJ area G,17.89,22.72,14,silcrete,Flake local G4,Area 1
1,1115,,BCJ area G,14,18,2,silcrete,Flake local G4,Area 1
1,1116,,BCJ area G,14.74,18.1,2,silcrete,Flake local G4,Area 1
1,1117,,BCJ area G,14.64,18.1,2,silcrete,Flake local G4,Area 1
1,1118,,BCJ area G,14.04,18.1,4,silcrete,Flake local G4,Area 1
1,1119,,BCJ area G,14.29,18.35,4,silcrete,Flake local G4,Area 1
1,1120,,BCJ area G,14.47,18.51,4,silcrete,Flake local G4,Area 1
1,1121,,BCJ area G,14.72,18.76,4,silcrete,Flake local G4,Area 1
1,1122,,BCJ area G,14.05,18.51,4,silcrete,Flake local G4,Area 1
1,1123,,BCJ area G,14.04,18.2,4,silcrete,Flake local G4,Area 1
